comment,num_of_likes
"this guy is a hell of a documentarian. cuts right to the point, no filler.",12922
Böyle kaliteli bir belgeseli ilk izleyenlerden olmak iyi hissettiriyor teşekür Ruhi Çenet bizi globalde çok iyi temsil ediyorsun,9742
Türkiye'nin gururu bu adam ülkenin en iyi içerik üreticisi,5564
it's kinda crazy how nobody's talking about the forbidden ebook called hidden laws of the game by eric cook,4925
"Thank you, Opera, for sponsoring this video! Check out their browser here:  https://opr.as/03-Opera-browser-ruhicenetvideos",4586
"Thank you, Opera, for sponsoring this video! Check out their browser here:  https://opr.as/03-Opera-browser-ruhicenetvideos",4586
I honestly didn't believe such a place existed on Earth.  Mind shattering,3214
"I am Vietnamese, and I am very proud that you come to our country, thank you very much. (tôi là một người Việt Nam , và tôi rất tự hào khi bạn đến đất nước của chúng tôi, rất cảm ơn)",2376
"Ağzım açık izledim. Evimin rahat koltuğunda, karşımdaki ekranda o devasa mağarayı hayal etmeye çalıştım ama orada olamasak ta yine de o keyfi yaşayabildik. Teşekkürler Ruhi. Yine 10 numaralık iş çıkarmışsın.",2227
We got a real life Minecraft Cave update,1805
"Ruhi, öğrenci olduğum için bukadar destek olabiliyorum.Teşekkür ederiz video için. Yine çok keyifli bir belgesel izledik.",1301
This is my hometown. Quang Binh. Thank you for coming to explore and share with friends and tourists about a famous tourist destination and this is also the largest cave in the world. Viet Nam🇻🇳🇻🇳🇻🇳,1114
Çok iyi bir insan çok iyi bir belgeselci ve bilgilendirici içerikler üretiyor bunlar için hayatını riske attığın ve bizi her şartta bilgilendirdiğin için çok teşekkür ederiz 🖤,979
"Ülke gündemi maalesef böyle iken, tüm bu olumsuzlukların, kötü durumların olması yüzünden durum bundan ibaretken, sizin halen tüm engelleri aşarak böyle kaliteli belgeselleri ve güzel bilgileri vermeniz çok güzel. Bu tür güzelliklerin hastası olduk artık neredeyse 10 yıldır, çocukluğumdan beri sizleri takip ediyorum ve şuan 21 yaşındayım. Şunu da size söylemeliyim ki hem efendiliğiniz hem de karakterli oluşunuz ile kendime örnek aldığım sayılı kişilerden birisisiniz. Başarılarınınızın devamını her zaman diliyorum Ruhi Abi. Desteğim size her zaman sonsuzdur.",917
I'm a Vietnamese. I am proud of my homeland. Thank you for discovering and promoting our homeland to everyone.,772
"ありがとうございます！
このような世界があるなんて驚きです。
まるでアニメやゲームのような映像です
貴重な動画をありがとうございます。",747
"As a Vietnamese 🇻🇳, I am extremely proud that my country has been blessed with unique and beautiful landscapes in the world. And I also want to thank you for a great video (which helps many people know about the natural beauty of Vietnam).",686
"I don't know if you will see my comment or not, but I will try. In Yemen, specifically in the Indian Ocean, there is an island called Socotra, which is another world in the sense of the word, and there is a cave with a well-known length of 3 kilometres, but in fact its 20 kilometres long, there are collapses, trees and a hidden world that can go to. It will be a different and unique experience.",656
"Hi, I am Vietnamese. I am very proud and grateful that you have introduced Vietnam and Son Doong to the world. If you have the opportunity to come back, I hope you can visit Hung Temple in Phu Tho, my hometown! 😊",611
