comment,num_of_likes,reply_count
We need an extended cut of must be hours worth of cool content,41699,0
ok this is by far the coolest vid ever made,24732,0
Next video Spent Hours In Area,18826,0
This is Exactly how privileged access should be used and,17249,0
The Egyptian guys were so warm and Really made this video even more,14474,0
Egyptian and this is the first time to see this magical footage inside our thank you for this effort and you are welcome any time in Egypt,13631,0
We escribed,8213,0
This was such an incredible adventure to As an I love seeing the beauty and mystery of our pyramids being appreciated in such a unique The effort and dedication you and your team put into this experience are truly Thanks for sharing this amazing journey with the,6251,0
As an Egyptian obsessed with Egyptian I find this very Thank you for this nice,4986,0
going somewhere only people in modern history have Once in a lifetime experience for,3074,0
Genuinely one of best videos,2957,0
The egyptian guys were so warm and Really made this video even more,2591,0
somehow have unrestricted access to all the Great Pyramids of must be one of the coolest intro in history,1338,0
Video from this is the first time I have seen and learned that there are beautiful things inside the This video is It is history and Your brother is from Greetings to,1297,0
Next Hours in Area,1245,0
As an really proud to see our ancient history getting worldwide The Great Pyramids are truly a and this video showcases their magnificence Hope more people get inspired to visit Egypt and witness this incredible heritage firsthand,1158,0
Egyptian and so proud of our incredible history and Egypt has given so much to the from the pyramids to ancient science and Love seeing Egypt getting,1086,0
As a I still think this is the best video ever,1057,0
Thank you for your visit to Egypt and exploring our effects and displaying them to the world so that the world knows how great Egypt lives Egypt,996,0
i kinda wish the video was longer This is the best video you ever did so far,872,0
from egypt and so happy to see ppl who actually care and are deeply interested in our,856,0
As an thank you for making this content with such love and admiration for our We are always proud of our civilisation and Egyptian and with this video it made us more proud and,811,0
As an I thank you for making this content with such love and admiration for our We always pride ourselves on our Egyptian civilization and and with this video you made us more proud and great,794,0
The most beautiful video ever is that it is in the land of magic and beauty Egypt,794,0
I am an the video is very Egypt is,722,0
This definitely needed to be a longer episode with a lot more background and details,719,0
We definitely need a longer version of sure there are hours of amazing,706,0
Genuinely one of best videos love Egypt,642,0
This is the kind of a video that should have been hour,627,0
I am glad to see I am quite fond of the history of the Pharaohs and Thank you guys for opening our eyes to the,596,0
As an Egyptian who studied archaeology and works in tourism I enjoyed this video so so so Your vibes are amazing,592,0
It was one of the best videos Beast,590,0
I even process how you were able to convince the Egyptian government to do all of this,577,0
I am Egyptian and this video is the best video ever made of the pyramids,572,0
so proud of egyption authorities that they let you DO really proud of you coming to egypt yet very jealous that I have the chance to see you,561,0
VM Gran misterio thanks you for the exclusive images of Egypt,556,0
what a great I think this is your best video,503,0
Proud and happy to be Egyptian I love our history and our ancient am obsessed,501,0
The VM Granmisterio community thanks you for these exclusive images of the pyramids,484,0
VM Gran Misterio sends you Thanks to Ivan recommendation I am From Argentina,476,0
This content would be enough for an hour video,468,0
As a person living in i am honestly VERY They have gotten you do that so easily even if you are a big Youtuber,404,0
I NEED the extended longer hour version of their trip to Egypt and the I love this,389,0
You can imagine how these pyramids were built by the ancient Egyptians with all this Thank really for this as as I seen this before,385,0
I am an antiquities specialist and this is the first time I see new things in the pyramids The video is Thank,382,0
The Egyptian men were extremely and They made this video even,369,0
This is so nice more pls,366,0
I am Egyptian and this is the first time I see these beautiful shots inside the Thank you for this effort and welcome to the mother of the which is the origin of,364,0
Those Egyptian guides were so relaxed and I enjoyed the humorous yet informative,358,0
As an welcome to our ancient Hope this inspires more people to visit and learn about our,354,0
This is the type of video that should have been more than an hour,348,0
VM GRAN MISTERIO talked about this,340,0
I recently went to Egypt and believe in me it is the best places to experience adventure and fear at,325,0
i cant believe how strong you and your cast literally only person to do,319,0
Who is watching this now,317,0
Egyptian and this is the first time to see the magical footage inside our thank you for this effort and you are welcome any time in Egypt,317,0
old but he look tired in single time he look excited,313,0
That dude definitely took that,307,0
been smiling this entire I love learning about the ancient Thank you so much to these wonderful Egyptians for making this video Love from the US,300,0
what a beautiful Egypt from Indonesia,298,0
As an I want to thank you for making this content with all this admiration and interest in our Egyptian We are always proud of our Egyptian history and and now I am even more proud after this,290,0
Thank you for using your money and power for such cool I love,275,0
I am proud to be an Egyptian with the greatest civilization in the It is wonderful that you are,274,0
As an I was surprised with the incredible information you provided in this That was AWESOME and you were more the welcomed in our land of history,274,0
Best video in history Its mind,268,0
Doctor Zahi is a,266,0
I wish you had made this video just for I really get enough of watching the pyramids are,265,0
Egypt is incredible and the tour guides were,265,0
Zahi went back for that gold for sure,250,0
VMGran says hello,245,0
Vm Granmisterio sends you many,245,0
This is a perfect example of money giving you access,237,0
I have searched a lot about the pyramids through books and other but now I am amazed by this Now you are a very genius,237,0
Being Egyptian makes me proud is special and Thank u for your,235,0
As someone who loves history and I LOVE this Simply amazing to Once in a,220,0
This video is literraly going to be shown in schools all around the world for years,216,0
This is exactly how privileged access should be used and,216,0
VM GRAN MISTERIO TE the mistery is here,211,0
A video attempting to camouflage current findings,210,0
