word,score
egypt,11870
video,9555
pyramid,5494
best,3772
bro,3272
great,3202
thank,3193
hour,3146
water,2066
proud,2063
cool,1903
mrbeast,1854
time,1643
histori,1642
world,1530
next,1459
money,1398
properti,1291
peopl,1274
beast,1197
first,1183
thing,1168
much,1164
crazi,1131
bangladesh,1074
ancient,1058
year,1051
love,1040
gold,948
amaz,903
wow,813
welcom,804
civil,777
old,774
awesom,733
beauti,723
vm,721
tomb,692
im,692
nice,691
u,665
youtub,657
alien,647
come,643
place,612
view,589
big,585
wonder,567
mani,558
content,557
