comment,sentiment
As an this is the first time I see and hear about the things shown in this this is one of the best videos ever,5 stars
Doing what most cant and documenting it for the whole world to I LOVE IT,5 stars
These Egyptian dudes are awesome,5 stars
We need an extended cut of must be hours worth of cool content,4 stars
ok this is by far the coolest vid ever made,3 stars
Next video Spent Hours In Area,3 stars
This is Exactly how privileged access should be used and,5 stars
The Egyptian guys were so warm and Really made this video even more,5 stars
Egyptian and this is the first time to see this magical footage inside our thank you for this effort and you are welcome any time in Egypt,5 stars
We escribed,5 stars
This was such an incredible adventure to As an I love seeing the beauty and mystery of our pyramids being appreciated in such a unique The effort and dedication you and your team put into this experience are truly Thanks for sharing this amazing journey with the,5 stars
As an Egyptian obsessed with Egyptian I find this very Thank you for this nice,5 stars
I kinda wish this video was longer and in more Awesome video great premise definitely want more,3 stars
going somewhere only people in modern history have Once in a lifetime experience for,5 stars
Genuinely one of best videos,5 stars
The egyptian guys were so warm and Really made this video even more,5 stars
somehow have unrestricted access to all the Great Pyramids of must be one of the coolest intro in history,5 stars
Video from this is the first time I have seen and learned that there are beautiful things inside the This video is It is history and Your brother is from Greetings to,5 stars
Next Hours in Area,4 stars
As an really proud to see our ancient history getting worldwide The Great Pyramids are truly a and this video showcases their magnificence Hope more people get inspired to visit Egypt and witness this incredible heritage firsthand,5 stars
Egyptian and so proud of our incredible history and Egypt has given so much to the from the pyramids to ancient science and Love seeing Egypt getting,5 stars
As a I still think this is the best video ever,5 stars
Thank you for your visit to Egypt and exploring our effects and displaying them to the world so that the world knows how great Egypt lives Egypt,5 stars
This is easily one of best videos,5 stars
the power of a YouTuber,5 stars
bought a property in ahh video,1 star
i kinda wish the video was longer This is the best video you ever did so far,5 stars
from egypt and so happy to see ppl who actually care and are deeply interested in our,5 stars
As an thank you for making this content with such love and admiration for our We are always proud of our civilisation and Egyptian and with this video it made us more proud and,5 stars
The most beautiful video ever is that it is in the land of magic and beauty Egypt,5 stars
As an I thank you for making this content with such love and admiration for our We always pride ourselves on our Egyptian civilization and and with this video you made us more proud and great,5 stars
I am an the video is very Egypt is,2 stars
This definitely needed to be a longer episode with a lot more background and details,3 stars
We definitely need a longer version of sure there are hours of amazing,3 stars
Genuinely one of best videos love Egypt,5 stars
This is the kind of a video that should have been hour,3 stars
I am glad to see I am quite fond of the history of the Pharaohs and Thank you guys for opening our eyes to the,5 stars
As an Egyptian who studied archaeology and works in tourism I enjoyed this video so so so Your vibes are amazing,5 stars
It was one of the best videos Beast,5 stars
I even process how you were able to convince the Egyptian government to do all of this,5 stars
