comment,num_of_likes,reply_count
"As an Egyptian, this is the first time I see and hear about the things shown in this video! Honestly, this is one of the best videos you've ever made. ❤❤",179003,907
Doing what most cant and documenting it for the whole world to see. I LOVE IT ,68925,149
تجربة أسطورية 🤯 مرحبًا بك في مصر! 🇪🇬,65518,634
BEAST GAMES FINALE DROPS FEBRUARY 13TH! GO WATCH THE REST NOW! https://unfur.ly/BeastGames,57787,725
These Egyptian dudes are awesome 😄,44853,254
"We need an extended cut of this, must be hours worth of cool content",41704,91
ok this is by far the coolest vid you've ever made,24732,54
Next video “I Spent 100 Hours In Area 51!”,18827,149
This is special. Exactly how privileged access should be used and shared.,17251,33
هذه الحلقة هي الأقوى والأعظم بلا شك! فأنت في مصر… حيث وُلدت الحضارة قبل أن يُكتب التاريخ!,16921,306
بجد فخور جدااا بحضارتنا وزعلان علي تقدير واستغلال غيرنا حاجات موجوده قدامنا كل يوم ♥️,14475,231
"The Egyptian guys were so funny, warm and engaging. Really made this video even more enjoyable.",14475,31
"I'm Egyptian and this is the first time to see this magical footage inside our pyramids, thank you for this effort and you are welcome any time in Egypt 🇪🇬 ❤",13633,54
We escribed !! 21:42,8213,79
أنا كمصري لم أر كل هذه  الأشياء شكرا لك جيمي علي مقطعك الرئع,7846,54
"This was such an incredible adventure to watch! As an Egyptian, I love seeing the beauty and mystery of our pyramids being appreciated in such a unique way. The effort and dedication you and your team put into this experience are truly impressive! Thanks for sharing this amazing journey with the world!❤",6252,40
"As an Egyptian obsessed with Egyptian history, I find this very wonderful. Thank you for this nice experience.",4986,18
I kinda wish this video was longer and in more detail. Awesome video great premise definitely want more,3749,16
اني عراقية وعشت بهذا البلد العظيم 3 سنوات وكانت اجمل بلد ازورها في حياتي ،  بلد يجمع الحضارة والاصالة وشعب يجمع الروح الحلوة والطيبة ❤ كل الحب لام الدنيا والشعب المصري ❤️❤️🇪🇬🇮🇶,3471,52
"That’s insane, going somewhere only 50 people in modern history have been! 
Once in a lifetime experience for sure.",3074,12
Genuinely one of Jimmy’s best videos ever.,2957,10
"The egyptian guys were so funny, warm and engaging. Really made this video even more enjoyable.",2591,6
Best video yet!,2381,16
area 51 next?,2372,21
شكرا لكل الفريق المصري اللى ظهر فى الفيديو واللى ورا الكاميرا واى حد ساعد انه يظهر بالشكل الممتع دا .. خفة دم المصريين غالبة ♥🇪🇬✌😂,1542,9
OMG 3 m views in 30 min ! And he didnt use Fruityviews !! Boss,1540,4
مصري وكلي فخر بالعظمة دي وحبيت اكتر الدكتور زاهي حواس بعد الفيديو ده وعجلني بطلان نظريات مؤامرة كتير اتذكرت حوالين الاهرامات وحوالين فيديو مستر بيست .. كل الشكر لوزارة السياحة والآثار المصرية .. كل الفخر ببلدي ❤,1537,31
فيديو عالمي يليق بالحضارة المصرية😮 تحياتي لشعب مصر 🇪🇬 من الجزائر 🇩🇿,1532,14
"سهولة التصاريح والمساعدة في التصوير مع وجود د زاهي بنفسه شيء جميل يستحق الثناء 
شكرا لبلد الحضارة والسحر والجمال مصر العظيمة ❤",1494,24
اهل مصر بحبكم من غزة 🤍,1413,41
مصر وعظمه مصر وجمال مصر وتاريخ مصر ....والله أعظم بلد وأعظم حضاره ❤,1375,65
"""I somehow have unrestricted access to all the Great Pyramids of Egypt"" must be one of the coolest intro first-liners in history",1338,3
حاجه بجد تحسسك بالفخر وحضاره مصر القديمه ❤ ياريت نقدر حضارتنا اكتر من كده ونشتغل عليها في ناس تتمني الآثار تكون موجوده عندها عظيمه يا مصر ❤,1313,44
"Video from history. Honestly, this is the first time I have seen and learned that there are beautiful things inside the pyramids. This video is Egypt. It is history and civilization. Your brother is from Yemen. Greetings to you.",1297,4
"Next video, ""200 Hours in Area 51.""",1246,22
هذا الفيديو يجذب السياحة في بلدي مصر الجميل 😍,1202,42
"As an Egyptian, I’m really proud to see our ancient history getting worldwide attention! The Great Pyramids are truly a wonder, and this video showcases their magnificence perfectly. Hope more people get inspired to visit Egypt and witness this incredible heritage firsthand",1158,27
"I'm Egyptian and so proud of our incredible history and civilization! Egypt has given so much to the world, from the pyramids to ancient science and culture. Love seeing Egypt getting recognized! 🇪🇬",1086,23
"As a non-Egyptian, I still think this is the best video you've ever made.",1057,7
Thank you for your visit to Egypt and exploring our effects and displaying them to the world so that the world knows how great Egypt lives Egypt,996,9
This is easily one of Jimmy's best videos,992,7
That's the power of a YouTuber 💪🏻🔥,986,16
بجد فخورة اني مصرية وفخورة بحضارة مصر العريقه التي لا يوجد مثلها في اي مكان تحيا مصر 🇪🇬,904,24
"""I bought a property in egypt"" ahh video",898,7
❤,878,15
i kinda wish the video was longer . This is the best video you ever did so far ❤️,872,4
فخورين ب ابننا برعي على الاداء الصوتي التحفة☝🏼,865,15
فعلا اتبسطت جدا جدا بتعاون الحكومة المصرية ومشاركة دكتور زاهى بمجهود جسدي ربما يكون تسببله فى تعب ولكن شغل ممتاز جدا جدا,860,20
I'm from egypt and I'm so happy to  see ppl who actually care and are deeply interested in our culture❤,856,13
"As an Egyptian, thank you for making this content with such love and admiration for our civilisation.

We are always proud of our civilisation and Egyptian origins, and with this video it made us more proud and great❤️🇪🇬",811,10
The most beautiful video ever is that it is in the land of magic and beauty Egypt 🇪🇬 ♥️♥️,794,6
"As an Egyptian, I thank you for making this content with such love and admiration for our civilization. We always pride ourselves on our Egyptian civilization and origins, and with this video you made us more proud and great",794,14
جاءت مصر أولا ثم جاء التاريخ 🇪🇬❤️,768,68
اول مره اشوف الاهرامات بهذا الشكل. فعلاً اجمل فيديو..💙,731,3
"I am an Egyptian, the video is very beautiful. Egypt is great. ❤❤❤❤",722,6
This definitely needed to be a longer episode with a lot more background and details,719,5
We definitely need a longer version of this—I’m sure there are hours of amazing footage!,706,6
تخيل ده معلم واحد من الاف المعالم الاعجازيه ال موجوده في بلدنا وفيه حاجات فيها اسرار اكتر من الهرم بكتير فخور بيكي يامصر ويارب ترجعي لوضعك الطبيعي ❤,674,10
أنا جزائري والفيديو جعلني أفتخر بالحضارة المصرية.. هندسة عبقرية ودقة في الانجاز ♥,672,12
"Genuinely one of Jimmy’s best videos ever.
love Egypt",642,1
"بلد الحضارة والثقافة والكرم 
تحية لأهل مصر 🇪🇬 اختكم من حضرموت 🇾🇪",636,17
This is the kind of a video that should have been 1+ hour long...,627,3
I am glad to see these. I am quite fond of the history of the Pharaohs and Egypt. Thank you guys for opening our eyes to the world.,596,2
بجد فخوره جدا بحضارتتا و تاريخنا و تراثنا❤,595,27
"As an Egyptian who studied archaeology and works in tourism

I enjoyed this video so so so much... Your vibes are amazing too❤",592,7
It was one of the best videos Beast made.,590,1
"الفيديو ده هيبقا بمثابة اعلى ترويج سياحي للاهرامات لمدة 10 سنين قادمة 
انا طالب في كلية الاثار وأول مرة اشوف كل ده ❤❤❤
كل الشكر لعالمنا الجليل د زاهي حواس 
شئ عظيم بجد ❤❤",589,6
حفظ الله مصر وشعبها,587,0
I can't even process how you were able to convince the Egyptian government to do all of this 😂😂,577,13
